,Dataset,Method,Metric,Patient,Performance
252,V-23_24,MMSBM,Recall,119,0.7213114754098361
253,V-23_24,MMSBM,Precision,119,0.8148148146639231
254,V-23_24,MMSBM,Accuracy,119,0.6779661016949152
255,V-23_24,MMSBM,Recall,118,0.43333333333333335
256,V-23_24,MMSBM,Precision,118,0.649999999675
257,V-23_24,MMSBM,Accuracy,118,0.7796610169491526
258,V-23_24,MMSBM,Recall,84,0.6071428571428571
259,V-23_24,MMSBM,Precision,84,0.7391304344612476
260,V-23_24,MMSBM,Accuracy,84,0.8305084745762711
261,V-23_24,MMSBM,Recall,85,0.75
262,V-23_24,MMSBM,Precision,85,0.7222222220884773
263,V-23_24,MMSBM,Accuracy,85,0.6949152542372882
264,V-23_24,MMSBM,Recall,207,0.44
265,V-23_24,MMSBM,Precision,207,0.6470588231487889
266,V-23_24,MMSBM,Accuracy,207,0.8220338983050847
267,V-23_24,MMSBM,Recall,206,0.5
268,V-23_24,MMSBM,Precision,206,0.6206896549583829
269,V-23_24,MMSBM,Accuracy,206,0.6694915254237288
270,V-23_24,MMSBM,Recall,172,0.3333333333333333
271,V-23_24,MMSBM,Precision,172,0.5882352937716263
272,V-23_24,MMSBM,Accuracy,172,0.7372881355932204
273,V-23_24,MMSBM,Recall,3,0.7068965517241379
274,V-23_24,MMSBM,Precision,3,0.8367346937067889
275,V-23_24,MMSBM,Accuracy,3,0.711864406779661
276,V-23_24,MMSBM,Recall,7,0.6451612903225806
277,V-23_24,MMSBM,Precision,7,0.7407407404663923
278,V-23_24,MMSBM,Accuracy,7,0.7966101694915254
279,V-23_24,MMSBM,Recall,108,0.7027027027027027
280,V-23_24,MMSBM,Precision,108,0.7222222220216049
281,V-23_24,MMSBM,Accuracy,108,0.8135593220338982
282,V-23_24,MMSBM,Recall,109,0.5882352941176471
283,V-23_24,MMSBM,Precision,109,0.7142857140306123
284,V-23_24,MMSBM,Accuracy,109,0.8135593220338984
285,V-23_24,MMSBM,Recall,102,0.6875
286,V-23_24,MMSBM,Precision,102,0.7333333331703703
